method,episode,seed,backend,success,steps,elapsed_seconds,recovery_attempts,recovery_successes,detector_triggers,recovery_steps,failure_probability_max,recovery_definition,terminated,truncated,failure_reason,episode_specification_sha256,episode_bank_sha256,metaworld_task_sha256,retry_specification_sha256s,retry_task_sha256s,noise_level,noise_percent,action_noise_std,observation_noise_std,object_impulse_std_m,condition_index,Profile,Benchmark Eligible
ACT,31,8000073,metaworld,True,57,0.31955639100124245,0,0,0,0,0.0,,True,False,,07a5bc8cb1daa7e63ff7ed6f2ab3f9d9b5a0c610605f2b9ac274fd2d3a2fd60b,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,b8e45a2f8f553d53c6eef0305347f910b9999bcae6df6ccaf0eaee6ac864e670,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,32,8000074,metaworld,True,54,0.2749256110000715,0,0,0,0,0.0,,True,False,,ba2cfbfdc729600c488ea053b046d65be14ce6f1f8c82ac28bf48ce4fefa678a,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,ba19e0623fe05add91e00811bacb33e27305f5fcb6549be6f6278ebce6046101,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,33,8000075,metaworld,True,57,0.2974965590001375,0,0,0,0,0.0,,True,False,,269208eae25383a1be127e631b909395fb149b81c5020ce45b33095d23d44d8c,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,8a99d46d6d04afe3e2ef92bb607dde5e178b5c37506006c4f364e345976453b1,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,34,8000076,metaworld,True,55,0.28358087000015075,0,0,0,0,0.0,,True,False,,4d5100d9db9a55c0afcde13d99e1d90001c4e0ddaadb48a47035114135196278,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,4e97203f8ce1a96cef19545d4c4c300d0de39e4f94bd1941cef7ebc3dd48be02,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,35,8000077,metaworld,True,58,0.29781647300114855,0,0,0,0,0.0,,True,False,,e06631f1d061678a63d1ca8f6cba95a84cacba334d8b57b342bd95702ebb005d,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,06d355d7aff3b944ab4199c02a94c63d062e5c414c0b195f7b232b607e0ab1ed,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,36,8000078,metaworld,True,59,0.29612455099777435,0,0,0,0,0.0,,True,False,,566ef0ff02cded88fcc03a9c13429246e47699ab11b15cbb316284fccbdf8910,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,39001749c902e2ab9d015efb8c7644faffff99810b709d3203dc359d5eacdcbd,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,37,8000079,metaworld,True,57,0.28345967900168034,0,0,0,0,0.0,,True,False,,4d7bac976bcc4fb0c2b7ede435adce5c63f0dffda42aa18e69f699dc0522d603,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,8a99d46d6d04afe3e2ef92bb607dde5e178b5c37506006c4f364e345976453b1,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,38,8000080,metaworld,True,47,0.2349050479970174,0,0,0,0,0.0,,True,False,,1d7f5745e1be80f914e1797ed36ae29290bd0d1f855c86a716a0b513c4b43cc7,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,5d73f28d4d24cdbcb36a5e5cd61ec1a82f7287ce56d88da8cea912ed757b164c,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,39,8000081,metaworld,True,59,0.28940425499968114,0,0,0,0,0.0,,True,False,,e4c85d92e8cc466fe8818ebc92d5dc8b210a17dc030b7541a03c5394681795f1,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,a8cfe6e2276fbd15230c5555255b87d17333bdd29f84f687df7405d0311fae7f,,,0.0,0.0,0.0,0.0,0.0,0,full,True
ACT,40,8000082,metaworld,True,52,0.2584579680005845,0,0,0,0,0.0,,True,False,,56f9e47235d9666f21a9b2fad2411c8eb77af3892c7c504aafe108753b3793e1,57ac5e7259f9e36fe4d487d0f69b7b13ade0c0aa4abbfe896ce2ee654b85d6b9,f82ceac6f8787ac22c378edc1f141cedcc86bf9309b43f1aff6633ae0a963abb,,,0.0,0.0,0.0,0.0,0.0,0,full,True
